iter	Passed	Remaining
1239	102405	62764
1240	102481	62678
1241	102566	62597
1242	102643	62511
1243	102725	62427
1244	102806	62344
1245	102894	62265
1246	102976	62182
1247	103060	62100
1248	103146	62019
1249	103231	61938
1250	103311	61854
1251	103394	61772
1252	103474	61688
1253	103557	61606
1254	103635	61520
1255	103720	61439
1256	103803	61357
1257	103885	61274
1258	103964	61189
1259	104049	61108
1260	104131	61025
1261	104212	60941
1262	104297	60860
1263	104378	60777
1264	104461	60695
1265	104545	60613
1266	104631	60532
1267	104714	60450
1268	104798	60368
1269	104891	60291
1270	104971	60208
1271	105048	60121
1272	105130	60038
1273	105213	59956
1274	105292	59872
1275	105379	59792
1276	105458	59707
1277	105543	59626
1278	105624	59542
1279	105708	59461
1280	105794	59380
1281	105881	59300
1282	105967	59219
1283	106049	59136
1284	106129	59052
1285	106213	58970
1286	106298	58889
1287	106383	58808
1288	106466	58725
1289	106541	58639
1290	106627	58558
1291	106712	58477
1292	106795	58394
1293	106870	58308
1294	106950	58223
1295	107032	58141
1296	107111	58056
1297	107195	57974
1298	107284	57895
1299	107368	57814
1300	107453	57732
1301	107535	57649
1302	107612	57563
1303	107698	57483
1304	107786	57403
1305	107862	57317
1306	107947	57235
1307	108031	57154
1308	108113	57071
1309	108195	56988
1310	108274	56903
1311	108359	56822
1312	108441	56739
1313	108523	56657
1314	108611	56576
1315	108692	56493
1316	108772	56409
1317	108853	56326
1318	108939	56245
1319	109020	56161
1320	109098	56077
1321	109186	55997
1322	109271	55916
1323	109356	55834
1324	109440	55752
1325	109521	55669
1326	109602	55585
1327	109688	55504
1328	109772	55423
1329	109851	55338
1330	109927	55252
1331	110009	55170
1332	110086	55084
1333	110167	55001
1334	110251	54919
1335	110335	54837
1336	110422	54757
1337	110501	54672
1338	110585	54590
1339	110667	54507
1340	110754	54427
1341	110838	54345
1342	110918	54261
1343	111005	54181
1344	111084	54097
1345	111169	54015
1346	111257	53935
1347	111340	53852
1348	111415	53767
1349	111493	53682
1350	111577	53600
1351	111656	53515
1352	111739	53433
1353	111826	53352
1354	111907	53269
1355	111987	53185
1356	112071	53103
1357	112149	53019
1358	112233	52937
1359	112317	52855
1360	112400	52772
1361	112479	52688
1362	112563	52606
1363	112646	52524
1364	112728	52441
1365	112814	52360
1366	112896	52277
1367	112981	52196
1368	113060	52111
1369	113144	52030
1370	113227	51947
1371	113306	51863
1372	113389	51780
1373	113474	51699
1374	113549	51613
1375	113632	51531
1376	113717	51449
1377	113797	51365
1378	113875	51280
1379	113953	51196
1380	114036	51113
1381	114129	51036
1382	114213	50954
1383	114297	50872
1384	114384	50791
1385	114462	50707
1386	114544	50624
1387	114628	50542
1388	114709	50458
1389	114793	50377
1390	114879	50295
1391	114956	50210
1392	115041	50129
1393	115126	50047
1394	115211	49966
1395	115293	49883
1396	115379	49802
1397	115458	49718
1398	115547	49638
1399	115631	49556
1400	115708	49471
1401	115797	49391
1402	115882	49309
1403	115963	49226
1404	116046	49144
1405	116133	49063
1406	116219	48982
1407	116304	48900
1408	116387	48818
1409	116471	48736
1410	116552	48652
1411	116635	48570
1412	116714	48486
1413	116790	48401
1414	116876	48319
1415	116957	48236
1416	117040	48154
1417	117122	48071
1418	117205	47988
1419	117288	47906
1420	117374	47825
1421	117455	47742
1422	117537	47659
1423	117623	47577
1424	117700	47493
1425	117784	47411
1426	117867	47328
1427	117945	47244
1428	118031	47163
1429	118108	47078
1430	118191	46995
1431	118271	46912
1432	118354	46829
1433	118438	46747
1434	118518	46664
1435	118601	46581
1436	118687	46500
1437	118777	46420
1438	118858	46337
1439	118942	46255
1440	119026	46173
1441	119106	46089
1442	119187	46006
1443	119266	45922
1444	119351	45841
1445	119430	45756
1446	119514	45675
1447	119594	45591
1448	119673	45507
1449	119753	45423
1450	119837	45341
1451	119919	45258
1452	120000	45175
1453	120087	45094
1454	120164	45010
1455	120242	44925
1456	120328	44844
1457	120411	44762
1458	120494	44679
1459	120577	44597
1460	120659	44514
1461	120737	44430
1462	120822	44348
1463	120904	44265
1464	120989	44183
1465	121070	44100
1466	121145	44015
1467	121229	43933
1468	121312	43850
1469	121394	43768
1470	121475	43685
1471	121560	43603
1472	121646	43522
1473	121727	43438
1474	121806	43354
